DATE,LREM64TTUSM156S
1977-01-01,64.58626
1977-02-01,64.70053
1977-03-01,64.9142
1977-04-01,65.15805
1977-05-01,65.25783
1977-06-01,65.46486
1977-07-01,65.37747
1977-08-01,65.57002
1977-09-01,65.71133
1977-10-01,65.8004
1977-11-01,66.10436
1977-12-01,66.35826999999999
1978-01-01,66.41872
1978-02-01,66.44457
1978-03-01,66.60121
1978-04-01,66.91174000000001
1978-05-01,67.00304
1978-06-01,67.27139
1978-07-01,67.04936
1978-08-01,67.29876999999999
1978-09-01,67.43092
1978-10-01,67.64098
1978-11-01,67.68256
1978-12-01,67.69119
1979-01-01,67.77699
1979-02-01,67.87933000000001
1979-03-01,67.94205
1979-04-01,67.76645
1979-05-01,67.72372
1979-06-01,67.8011
1979-07-01,67.97768
1979-08-01,67.78796
1979-09-01,68.16166
1979-10-01,68.05058000000001
1979-11-01,67.98483
1979-12-01,68.20358
1980-01-01,67.96761
1980-02-01,67.9241
1980-03-01,67.70012
1980-04-01,67.40033000000001
1980-05-01,67.01119
1980-06-01,66.85229
1980-07-01,66.80792
1980-08-01,66.67355
1980-09-01,66.92926999999999
1980-10-01,66.95883
1980-11-01,67.00271
1980-12-01,67.06435
1981-01-01,67.23554
1981-02-01,67.26313
1981-03-01,67.37805999999999
1981-04-01,67.63351
1981-05-01,67.48585
1981-06-01,66.95573
1981-07-01,67.14089
1981-08-01,67.11099
1981-09-01,66.79606
1981-10-01,66.83379000000001
1981-11-01,66.6485
1981-12-01,66.25883
1982-01-01,66.3406
1982-02-01,66.30688
1982-03-01,66.13917
1982-04-01,65.94513
1982-05-01,66.04361999999999
1982-06-01,65.69245
1982-07-01,65.64836
1982-08-01,65.73031999999999
1982-09-01,65.58118
1982-10-01,65.28681999999999
1982-11-01,65.16476
1982-12-01,65.07670999999999
1983-01-01,65.38224
1983-02-01,65.27506
1983-03-01,65.24256
1983-04-01,65.30490999999999
1983-05-01,65.24725
1983-06-01,65.9059
1983-07-01,66.21538000000001
1983-08-01,66.42699
1983-09-01,66.62505
1983-10-01,66.56801999999999
1983-11-01,66.97281
1983-12-01,67.12491
1984-01-01,67.23011
1984-02-01,67.58485
1984-03-01,67.66487
1984-04-01,67.86756
1984-05-01,68.31624000000001
1984-06-01,68.5337
1984-07-01,68.40021
1984-08-01,68.2225
1984-09-01,68.33964
1984-10-01,68.37541
1984-11-01,68.5125
